Date,Sales
2022-01-01,56690.14
2022-02-01,58913.41
2022-03-01,63543.07
2022-04-01,66297.29
2022-05-01,59297.54
2022-06-01,56497.59
2022-07-01,59137.64
2022-08-01,54974.1
2022-09-01,51391.58
2022-10-01,56699.48
2022-11-01,57809.75
2022-12-01,63002.81
2023-01-01,70325.89
2023-02-01,67988.36
2023-03-01,70825.25
2023-04-01,74441.34
2023-05-01,71361.51
2023-06-01,72542.74
2023-07-01,66075.93
2023-08-01,62834.89
2023-09-01,71596.95
2023-10-01,68794.47
2023-11-01,73802.58
2023-12-01,74525.76
2024-01-01,82366.85
2024-02-01,88460.97
2024-03-01,86947.02
2024-04-01,91655.3
2024-05-01,86998.08
2024-06-01,85124.92
2024-07-01,81394.88
2024-08-01,87028.63
2024-09-01,81559.51
2024-10-01,80698.66
2024-11-01,90467.63
2024-12-01,89537.47
2025-01-01,99026.59
2025-02-01,96649.19
2025-03-01,100815.44
2025-04-01,105518.79
2025-05-01,105415.4
2025-06-01,100914.1
2025-07-01,97253.06
2025-08-01,94968.49
2025-09-01,91564.43
2025-10-01,96112.26
2025-11-01,101018.08
2025-12-01,110771.37
